AGE	INCOME	MARITAL	MORTGAGE	LOANS	RISK	income2	age2
49	24651	"other"""""	"y"""""	3	bad loss	32114.02	34
45	24528	"other"""""	"n"""""	2	bad loss	31868.56	26
40	24392	"other"""""	"y"""""	2	bad loss	31579.84	47
42	24313	"other"""""	"y"""""	2	bad loss	31559.26	36
49	24226	"other"""""	"y"""""	3	bad loss	31680.52	37
49	24162	"other"""""	"y"""""	2	bad loss	31615.24	35
50	23083	"other"""""	"y"""""	3	bad loss	30544.66	42
45	21192	"other"""""	"n"""""	3	bad loss	28465.84	39
42	21125	"other"""""	"y"""""	3	bad loss	28307.5	34
49	20963	"other"""""	"n"""""	3	bad loss	28352.26	46
48	20536	"other"""""	"y"""""	2	bad loss	27886.72	27
27	18103	"other"""""	"y"""""	2	bad loss	26133.25	29
48	17120	"other"""""	"y"""""	3	bad loss	24402.4	44
28	17055	"other"""""	"y"""""	3	bad loss	23301.25	31
44	53983	"married"""""	"y"""""	0	bad loss	61882.66	37
32	52973	"married"""""	"y"""""	0	bad loss	60492.46	33
36	45949	"married"""""	"y"""""	0	bad loss	53447.98	33
37	44936	"married"""""	"y"""""	0	bad loss	52444.72	36
31	43972	"married"""""	"y"""""	1	bad loss	51281.44	44
37	43835	"married"""""	"y"""""	1	bad loss	51321.7	34
38	41158	"married"""""	"y"""""	0	bad loss	48621.16	32
45	28383	"married"""""	"y"""""	1	bad loss	35800.66	45
36	24974	"married"""""	"y"""""	1	bad loss	32053.48	43
21	24824	"married"""""	"y"""""	1	bad loss	44316	39
37	24682	"married"""""	"y"""""	1	bad loss	31785.64	36
18	24555	"married"""""	"y"""""	2	bad loss	43426.25	36
23	24512	"married"""""	"y"""""	2	bad loss	43558	45
25	24484	"married"""""	"y"""""	2	bad loss	43581	32
23	24290	"married"""""	"y"""""	1	bad loss	42947.5	46
20	23921	"married"""""	"y"""""	1	bad loss	41782.75	44
19	23906	"married"""""	"y"""""	1	bad loss	41691.5	40
38	23819	"married"""""	"y"""""	1	bad loss	30935.38	26
22	23771	"married"""""	"y"""""	2	bad loss	41470.25	43
19	23634	"single"""""	"y"""""	1	bad loss	40943.5	34
21	23514	"married"""""	"y"""""	1	bad loss	40713.5	35
37	23406	"married"""""	"y"""""	2	bad loss	30484.12	21
19	23374	"single"""""	"y"""""	1	bad loss	40228.5	46
33	23362	"married"""""	"y"""""	1	bad loss	30319.24	38
23	23299	"married"""""	"y"""""	1	bad loss	40222.25	41
36	23232	"married"""""	"y"""""	2	bad loss	30276.64	21
35	23185	"married"""""	"y"""""	2	bad loss	30198.7	40
24	23133	"married"""""	"y"""""	1	bad loss	39815.75	25
19	22940	"single"""""	"y"""""	1	bad loss	39035	23
22	22889	"married"""""	"y"""""	2	bad loss	39044.75	23
19	22807	"married"""""	"y"""""	1	bad loss	38669.25	21
20	22672	"married"""""	"y"""""	2	bad loss	38348	21
24	22483	"married"""""	"y"""""	1	bad loss	38028.25	38
20	22310	"married"""""	"n"""""	1	bad loss	37352.5	20
20	22238	"married"""""	"y"""""	1	bad loss	37154.5	19
22	22225	"married"""""	"y"""""	1	bad loss	37218.75	23
21	22167	"married"""""	"y"""""	1	bad loss	37009.25	28
19	22082	"married"""""	"n"""""	2	bad loss	36675.5	25
34	21582	"married"""""	"y"""""	2	bad loss	28533.64	33
20	21524	"married"""""	"y"""""	2	bad loss	35191	22
18	21502	"single"""""	"n"""""	2	bad loss	35030.5	17
36	20995	"married"""""	"y"""""	1	good risk	27994.9	29
36	20830	"married"""""	"y"""""	2	good risk	27826.6	24
18	20521	"married"""""	"y"""""	2	good risk	32332.75	39
23	20456	"married"""""	"y"""""	2	good risk	32404	34
23	20158	"married"""""	"y"""""	2	good risk	31584.5	23
38	20097	"married"""""	"y"""""	1	good risk	27138.94	16
24	19511	"married"""""	"y"""""	1	good risk	29855.25	26
34	19039	"married"""""	"y"""""	1	good risk	25939.78	21
19	18976	"married"""""	"n"""""	1	good risk	28134	44
22	18701	"married"""""	"n"""""	1	good risk	27527.75	20
32	18532	"married"""""	"y"""""	2	good risk	25362.64	25
19	18298	"married"""""	"n"""""	2	good risk	26269.5	17
21	18265	"married"""""	"n"""""	1	good risk	26278.75	20
20	18185	"married"""""	"n"""""	2	good risk	26008.75	22
23	17824	"married"""""	"y"""""	2	good risk	25166	25
31	17454	"married"""""	"y"""""	2	good risk	24233.08	21
23	17155	"married"""""	"n"""""	2	good risk	23326.25	42
19	17006	"married"""""	"n"""""	2	good risk	22716.5	23
20	16828	"married"""""	"n"""""	1	good risk	22277	38
20	16797	"married"""""	"n"""""	1	good risk	22191.75	23
37		"single"""""	"y"""""	0	good risk	41242.06	17
32	31295	"single"""""	"y"""""	0	good risk	38380.9	27
35	24745	"single"""""	"n"""""	1	good risk	31789.9	32
30	24613	"single"""""	"y"""""	1	good risk	31505.26	39
24	24564	"single"""""	"n"""""	1	good risk	43751	41
21	24504	"single"""""	"y"""""	1	good risk	43436	18
23	24377	"single"""""	"n"""""	1	good risk	43186.75	18
34	24339	"single"""""	"n"""""	1	good risk	31345.78	16
23	24252	"single"""""	"y"""""	1	good risk	42843	25
25	24099	"single"""""	"y"""""	1	good risk	42522.25	21
24	23993	"single"""""	"y"""""	1	good risk	42180.75	35
33	23980	"single"""""	"n"""""	1	good risk	30949.6	42
20	23786	"single"""""	"n"""""	1	good risk	41411.5	20
27	23751	"single"""""	"y"""""	1	good risk	41665.25	26
21	23735	"single"""""	"n"""""	1	good risk	41321.25	30
25	23721	"single"""""	"y"""""	1	good risk	41482.75	11
23	23586	"single"""""	"y"""""	1	good risk	41011.5	23
20	23477	"single"""""	"y"""""	1	good risk	40561.75	31
25	23446	"single"""""	"n"""""	1	good risk	40726.5	29
33	23167	"single"""""	"n"""""	1	good risk	30120.34	13
25	23067	"single"""""	"y"""""	1	good risk	39684.25	17
22	22919	"single"""""	"n"""""	1	good risk	39127.25	20
21	22818	"single"""""	"n"""""	1	good risk	38799.5	35
20	22787	"single"""""	"n"""""	1	good risk	38664.25	26
22	22583	"single"""""	"n"""""	1	good risk	38203.25	21
22	22441	"single"""""	"n"""""	1	good risk	37812.75	28
23	22423	"single"""""	"y"""""	1	good risk	37813.25	21
22	22387	"single"""""	"n"""""	1	good risk	37664.25	21
21	22365	"single"""""	"y"""""	1	good risk	37553.75	42
37	21862	"single"""""	"n"""""	1	good risk	28909.24	16
38	21620	"single"""""	"y"""""	1	good risk	28692.4	23
25	21534	"single"""""	"y"""""	1	good risk	35468.5	35
27	21449	"single"""""	"n"""""	1	good risk	35334.75	25
21	21421	"single"""""	"n"""""	1	good risk	34957.75	35
23	20901	"single"""""	"n"""""	1	good risk	33627.75	35
36	20811	"single"""""	"y"""""	1	good risk	27807.22	38
24	20639	"single"""""	"n"""""	1	good risk	32957.25	34
20	20589	"single"""""	"n"""""	1	good risk	32619.75	36
20	20326	"single"""""	"y"""""	1	good risk	31896.5	31
23	20135	"single"""""	"y"""""	1	good risk	31521.25	29
24	18749	"single"""""	"n"""""	1	good risk	27759.75	37
25	18126	"single"""""	"y"""""	1	good risk	26096.5	34
25	18050	"single"""""	"n"""""	1	good risk	25887.5	40
22	17917	"single"""""	"y"""""	1	good risk	25371.75	32
25	17886	"single"""""	"y"""""	1	good risk	25436.5	35
22	17704	"single"""""	"y"""""	1	good risk	24786	34
22	17548	"single"""""	"n"""""	1	good risk	24357	39
21	17296	"single"""""	"n"""""	1	good risk	23614	34
22	17193	"single"""""	"n"""""	1	good risk	23380.75	25
36	41834	"married"""""	"n"""""	0	good risk	49250.68	36
22	24943	"single"""""	"y"""""	1	good risk	44693.25	31
21	19640	"single"""""	"n"""""	1	good risk	30060	24
44	28716	"other"""""	"n"""""	3	good risk	36110.32	24
27	27127	"other"""""	"n"""""	3	good risk	50949.25	26
31	26120	"other"""""	"y"""""	2	good risk	33072.4	27
43	25327	"other"""""	"y"""""	3	good risk	32623.54	32
42	22651	"other"""""	"y"""""	3	good risk	29864.02	22
32	21337	"other"""""	"n"""""	3	good risk	28223.74	21
44	20194	"other"""""	"y"""""	3	good risk	27417.88	25
42	17580	"other"""""	"n"""""	2	good risk	24691.6	21
45	58381	"other"""""	"y"""""	0	good risk	66398.62	37
39	52495	"married"""""	"y"""""	1	good risk	60214.9	25
33	50631	"married"""""	"y"""""	0	good risk	58133.62	20
35	49600	"married"""""	"y"""""	1	good risk	57142	33
39	47161	"married"""""	"y"""""	1	good risk	54774.22	13
38	46823	"married"""""	"y"""""	1	good risk	54399.46	28
42	45584	"married"""""	"y"""""	0	good risk	53255.68	27
43	45390	"married"""""	"y"""""	0	good risk	53087.8	18
35	45238	"married"""""	"y"""""	1	good risk	52692.76	23
30	44756	"married"""""	"y"""""	1	good risk	52051.12	33
45	44294	"married"""""	"y"""""	1	good risk	52029.88	25
35	44194	"married"""""	"y"""""	1	good risk	51627.88	23
36	44048	"married"""""	"y"""""	0	good risk	51508.96	23
36	43750	"married"""""	"y"""""	1	good risk	51205	18
33	43645	"married"""""	"y"""""	0	good risk	51007.9	20
44	43185	"married"""""	"y"""""	0	good risk	50868.7	26
32	42438	"married"""""	"y"""""	0	good risk	49746.76	18
43	42106	"married"""""	"y"""""	0	good risk	49738.12	22
30	41935	"married"""""	"y"""""	0	good risk	49173.7	21
35	41735	"married"""""	"y"""""	0	good risk	49119.7	36
33	41483	"married"""""	"y"""""	0	good risk	48802.66	22
40	40855	"married"""""	"y"""""	1	good risk	48372.1	34
32	40636	"married"""""	"y"""""	1	good risk	47908.72	24
32	40526	"married"""""	"y"""""	1	good risk	47796.52	23
32	38537	"married"""""	"y"""""	0	good risk	45767.74	18
31	36036	"married"""""	"y"""""	1	good risk	43186.72	36
44	33454	"married"""""	"y"""""	1	good risk	40943.08	20
45	28840	"other"""""	"y"""""	0	good risk	36266.8	34
19	21652	"single"""""	"n"""""	1	good risk	35493	21
28	21175	"married"""""	"y"""""	1	good risk	34631.25	22
35	32827	"single"""""	"y"""""	0	good risk	40033.54	21
36	32620	"single"""""	"y"""""	0	good risk	39852.4	37
32	31778	"single"""""	"y"""""	0	good risk	38873.56	20
38	31523	"single"""""	"y"""""	0	good risk	38793.46	22
30	29933	"single"""""	"y"""""	0	good risk	36931.66	18
36	29608	"single"""""	"y"""""	0	good risk	36780.16	33
39	27841	"single"""""	"y"""""	0	good risk	35067.82	24
34	27794	"single"""""	"y"""""	0	good risk	34869.88	20
35	27706	"single"""""	"y"""""	0	good risk	34810.12	24
38	26539	"single"""""	"y"""""	0	good risk	33709.78	16
37	25771	"single"""""	"y"""""	0	good risk	32896.42	21
34	25276	"single"""""	"y"""""	0	good risk	32301.52	23
25	23944	"single"""""	"y"""""	1	good risk	42096	20
